,CUSTOMER_ID ,FIRSTNAME,MIDDLENAME ,LASTNAME ,CUSTOMER_TYPE,GENDER ,DATEOFBIRTH ,BIRTHPLACE,MOTHER_MAIDENNAME,CIVILSTATUS ,NATIONALITY,IS_MINOR,IS_PEP,SOURCEOFFUND ,MONTHLYINCOME ,OCCUPATION ,LOAD_DT ,INDUSTRYTYPE ,POSITIONS ,NAMEOFEMPLOYER ,LANDLINE_NO,CONTACT_DETAILS ,EMAIL ,BRANCHCODE ,COMPANYADDRESS ,ISSUEDATE ,EXPIRYDATE ,PPG_COUNTRY,PPG_PROVINCE ,PPG_CITY_MUNICIPALITY ,PPG_HOMEADD ,SUKI_CARD_NUMBER ,LOAD_DT_1
13,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
14,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
15,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
16,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
17,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
18,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
19,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
20,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
21,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
22,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
23,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
24,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
25,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
26,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
27,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard
28,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard
29,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard
30,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard
31,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard
32,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank
